TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
tampines,880,tampines avenue 8,520880,1.351326,103.931479,9,tampines west,tampines,east region,2752.7,1440.3,927.6,624.6,1332.5
choa chu kang,435,choa chu kang avenue 4,680435,1.385139,103.74105,12,peng siang,choa chu kang,west region,5958.8,676.7,1048.8,852.9,2735.4
jurong west,662D,jurong west street 64,644662,1.336978,103.704279,16,jurong west central,jurong west,west region,1810.2,323.4,718.3,570.7,450.0
bedok,155,bedok south avenue 3,460155,1.318574,103.946081,4,bedok south,bedok,east region,1608.8,917.0,621.9,943.8,2873.6
serangoon,511,serangoon north avenue 4,550511,1.3712,103.875632,11,serangoon north,serangoon,north-east region,2145.4,1079.9,260.0,896.2,2792.6
sengkang,468C,fernvale link,793468,1.396896,103.877785,26,fernvale,sengkang,north-east region,4871.1,2331.4,749.8,1110.2,872.9
toa payoh,215,lorong 8 toa payoh,310215,1.341828,103.855108,25,lorong 8 toa payoh,toa payoh,central region,162.6,1330.5,253.9,627.6,1932.4
bukit merah,38,beo crescent,160038,1.288554,103.82729,10,bukit ho swee,bukit merah,central region,225.9,378.1,738.4,1559.8,459.3
pasir ris,633,pasir ris drive 3,510633,1.378009,103.940687,13,pasir ris west,pasir ris,east region,4869.4,855.5,156.4,2164.6,2074.3
toa payoh,174,lorong 1 toa payoh,310174,1.330672,103.841918,12,toa payoh central,toa payoh,central region,1366.1,922.8,780.6,678.2,864.7
geylang,3,pine close,392003,1.306929,103.88311,19,aljunied,geylang,central region,115.8,130.1,905.0,582.0,1007.6
choa chu kang,25,teck whye lane,680025,1.377987,103.755188,13,teck whye,choa chu kang,west region,4820.5,1029.8,1047.1,857.8,930.8
pasir ris,527C,pasir ris street 51,513527,1.369373,103.94797,13,pasir ris central,pasir ris,east region,3909.6,495.8,1093.7,500.1,1478.7
bedok,42,bedok south road,460042,1.321478,103.940721,16,bedok south,bedok,east region,805.2,1099.6,802.0,841.9,2069.8
kallang/whampoa,51,kent road,210051,1.316757,103.851106,11,kampong java,kallang,central region,184.1,840.1,823.8,1662.5,1034.6
punggol,226A,sumang lane,821226,1.402728,103.893101,17,matilda,punggol,north-east region,6347.8,1409.9,870.1,863.3,1498.5
serangoon,224,serangoon avenue 4,550224,1.357206,103.870831,13,serangoon garden,serangoon,north-east region,1671.6,1297.2,1150.8,565.1,1019.2
punggol,618C,punggol drive,823618,1.401686,103.911816,17,waterway east,punggol,north-east region,6584.8,1190.0,462.3,346.1,287.5
queenstown,61C,strathmore avenue,144061,1.294236,103.812035,30,margaret drive,queenstown,central region,1326.7,922.0,813.0,329.9,1513.9
clementi,461,clementi avenue 3,120461,1.311099,103.7664,25,clementi central,clementi,west region,457.4,693.0,708.2,795.0,632.7
tampines,230F,tampines street 24,529230,1.356254,103.950753,12,tampines east,tampines,east region,2208.5,482.9,220.0,568.9,662.7
bukit panjang,633D,senja road,674633,1.384612,103.759603,25,senja,bukit panjang,west region,5850.9,934.0,191.8,652.7,706.7
bukit panjang,126,pending road,670126,1.376362,103.769919,12,jelebu,bukit panjang,west region,5099.7,1462.3,669.8,996.7,1625.3
hougang,122,hougang avenue 1,530122,1.353744,103.886159,4,lorong ah soo,hougang,north-east region,695.8,1221.6,716.8,437.9,881.8
choa chu kang,455,choa chu kang avenue 4,680455,1.379423,103.735184,16,peng siang,choa chu kang,west region,5796.7,810.8,272.0,816.4,3544.5
yishun,743,yishun avenue 5,760743,1.4299,103.833671,4,yishun west,yishun,north region,821.9,759.6,645.0,861.3,1047.9
woodlands,817,woodlands street 82,730817,1.441877,103.7909,4,midview,woodlands,north region,2141.8,1018.7,315.1,459.4,1295.6
yishun,802,yishun ring road,760802,1.418539,103.831763,12,khatib,yishun,north region,1835.4,440.6,416.5,285.0,1621.7
tampines,114,tampines street 11,521114,1.345972,103.94676,11,tampines east,tampines,east region,365.3,1235.4,944.8,743.3,1111.9
sengkang,287B,compassvale crescent,542287,1.398804,103.896077,15,sengkang town centre,sengkang,north-east region,5530.8,1064.5,694.7,709.9,1021.3
bishan,269,bishan street 24,570269,1.356889,103.842674,21,marymount,bishan,central region,1265.7,1282.6,1072.5,408.3,1377.2
queenstown,14,dover close east,130014,1.305564,103.785595,25,dover,queenstown,central region,1167.1,922.1,935.2,703.8,660.1
tampines,163,tampines street 12,521163,1.349532,103.947459,11,tampines east,tampines,east region,1081.9,979.7,504.6,552.8,670.6
sembawang,341B,sembawang close,752341,1.447982,103.818507,16,sembawang central,sembawang,north region,3267.5,836.4,1150.3,846.1,790.7
choa chu kang,815B,choa chu kang avenue 7,682815,1.376846,103.747377,20,keat hong,choa chu kang,west region,4690.6,1103.0,832.7,1328.9,1773.6
sembawang,504D,montreal drive,754504,1.450458,103.823881,13,admiralty,sembawang,north region,2918.0,740.3,756.6,1629.1,884.6
serangoon,111,serangoon north avenue 1,550111,1.369047,103.870584,13,serangoon garden,serangoon,north-east region,953.4,679.1,1275.5,142.5,2335.0
bukit batok,190,bukit batok west avenue 6,650190,1.345386,103.746045,25,bukit batok west,bukit batok,west region,1156.1,642.9,927.5,756.5,784.0
queenstown,20,dover crescent,130020,1.306723,103.783524,16,dover,queenstown,central region,1315.6,885.9,1264.5,775.9,940.9
bedok,141,bedok reservoir road,470141,1.335306,103.913462,13,kaki bukit,bedok,east region,961.0,603.2,1072.3,2149.2,3247.7
tampines,608B,tampines north drive 1,522608,1.363126,103.935956,15,tampines north,tampines,east region,3066.9,1180.9,492.0,1445.6,1786.8
sengkang,203C,compassvale road,543203,1.386812,103.895283,16,sengkang town centre,sengkang,north-east region,4035.0,770.6,703.8,566.5,813.7
bedok,764,bedok reservoir view,470764,1.335872,103.935401,15,bedok reservoir,bedok,east region,1051.2,586.7,724.6,716.6,2354.6
choa chu kang,217,choa chu kang central,680217,1.383357,103.746606,10,choa chu kang central,choa chu kang,west region,5585.6,775.0,535.2,1427.6,2146.0
jurong west,354,kang ching road,610354,1.339158,103.720931,11,taman jurong,jurong west,west region,645.0,1021.7,433.1,682.2,2130.9
sembawang,310,canberra road,750310,1.447036,103.822099,15,sembawang central,sembawang,north region,2201.1,583.5,556.5,954.5,525.0
woodlands,365,woodlands avenue 5,730365,1.434318,103.787634,11,woodgrove,woodlands,north region,1599.3,1169.8,453.5,1482.1,911.8
tampines,303,tampines street 32,520303,1.351994,103.955873,12,tampines east,tampines,east region,2007.1,650.7,788.8,520.2,773.3
bukit panjang,469,segar road,670469,1.387889,103.773288,15,fajar,bukit panjang,west region,6455.1,2297.6,682.4,1113.2,2316.6
yishun,664,yishun avenue 4,760664,1.4202,103.841075,10,yishun south,yishun,north region,2456.5,1236.9,134.5,664.4,1326.6
yishun,352,yishun ring road,760352,1.426463,103.844909,11,yishun east,yishun,north region,2296.3,1411.9,72.7,989.1,1236.1
hougang,309,hougang avenue 5,530309,1.366206,103.895152,13,kangkar,hougang,north-east region,1840.8,982.2,173.9,1034.0,1251.5
kallang/whampoa,13,farrer park road,210013,1.311601,103.8514,30,kampong java,kallang,central region,698.4,487.2,128.3,1482.5,649.3
tampines,613A,tampines north drive 1,521613,1.365793,103.935323,15,tampines north,tampines,east region,3477.4,938.9,902.6,1704.7,2183.9
tampines,610B,tampines north drive 1,522610,1.364418,103.936007,15,tampines north,tampines,east region,3348.6,1189.0,773.7,1593.4,2068.5
yishun,126,yishun street 11,760126,1.433509,103.830012,12,yishun west,yishun,north region,1064.4,1334.7,749.7,1325.0,1623.0
jurong west,276C,jurong west street 25,643276,1.353236,103.704443,15,wenya,jurong west,west region,2057.0,1072.4,689.0,920.5,1167.8
toa payoh,99C,lorong 2 toa payoh,312099,1.339016,103.847449,13,braddell,toa payoh,central region,454.0,337.6,458.8,919.8,974.4
tampines,494C,tampines street 43,522494,1.363703,103.952575,13,tampines east,tampines,east region,3022.2,1065.0,787.9,644.6,1686.6
bishan,162,bishan street 13,570162,1.34758,103.855949,4,bishan east,bishan,central region,1568.7,1106.8,355.1,545.0,1077.5
geylang,18C,circuit road,373018,1.329297,103.888793,19,macpherson,geylang,central region,614.6,400.1,1647.0,1621.9,3592.7
punggol,175B,punggol field,822175,1.397771,103.908648,17,punggol field,punggol,north-east region,6013.4,1251.0,371.1,519.7,661.2
queenstown,50,commonwealth drive,142050,1.301129,103.797123,40,tanglin halt,queenstown,central region,235.8,607.8,695.1,1070.9,1521.1
sembawang,131C,canberra crescent,753131,1.443965,103.830575,11,sembawang east,sembawang,north region,2104.7,549.4,1733.1,1417.9,513.7
sengkang,245,compassvale road,540245,1.392962,103.899291,15,sengkang town centre,sengkang,north-east region,4983.5,795.0,755.1,444.6,751.8
sengkang,200A,sengkang east road,541200,1.387007,103.891965,16,sengkang town centre,sengkang,north-east region,4050.7,696.5,471.0,699.2,832.6
geylang,32,eunos crescent,400032,1.320293,103.901356,19,geylang east,geylang,central region,423.1,336.2,1582.3,1567.8,2347.7
woodlands,148,woodlands street 13,730148,1.435763,103.77403,12,woodlands west,woodlands,north region,1143.2,693.1,681.6,494.8,1720.1
jurong east,277,toh guan road,600277,1.341319,103.746726,21,toh guan,jurong east,west region,1337.4,637.6,864.0,955.7,879.6
pasir ris,606,elias road,510606,1.376667,103.942648,17,pasir ris west,pasir ris,east region,4669.0,1092.0,527.9,1888.1,1723.9
yishun,511A,yishun street 51,761511,1.415662,103.841449,13,lower seletar,yishun,north region,2948.9,1167.6,334.2,599.8,1901.4
jurong west,268A,boon lay drive,641268,1.34798,103.707547,16,boon lay place,jurong west,west region,902.0,1263.5,1129.5,518.8,1424.6
punggol,622B,punggol central,822622,1.400344,103.910541,18,waterway east,punggol,north-east region,6377.0,996.2,358.7,344.1,596.5
tampines,860,tampines avenue 5,520860,1.35546,103.937596,11,tampines west,tampines,east region,2149.3,966.9,459.1,606.3,707.5
yishun,677B,yishun ring road,762677,1.4221,103.842666,13,yishun south,yishun,north region,2548.7,1594.2,505.7,397.3,1418.8
jurong west,988B,jurong west street 93,642988,1.336191,103.695792,15,yunnan,jurong west,west region,3114.8,760.0,1059.7,1204.7,1268.1
woodlands,106,woodlands street 13,730106,1.436769,103.782224,4,woodlands west,woodlands,north region,557.3,954.1,973.1,876.2,814.4
hougang,473C,upper serangoon crescent,533473,1.37628,103.901388,18,hougang east,hougang,north-east region,3028.6,1670.0,944.1,918.6,1368.3
choa chu kang,131,choa chu kang avenue 1,680131,1.381493,103.750956,15,teck whye,choa chu kang,west region,5404.4,1077.1,729.8,895.4,1586.8
serangoon,544,serangoon north avenue 3,550544,1.37441,103.870931,15,serangoon north,serangoon,north-east region,2099.4,1063.1,1171.7,1235.4,3339.8
bukit merah,119C,kim tian road,163119,1.281489,103.827672,30,tiong bahru station,bukit merah,central region,488.9,756.8,581.6,1338.3,774.5
yishun,130,yishun street 11,760130,1.433525,103.831331,12,yishun west,yishun,north region,692.6,962.9,377.9,953.2,1251.3
pasir ris,558,pasir ris street 51,510558,1.366803,103.951713,13,pasir ris central,pasir ris,east region,4079.5,933.4,1292.7,744.3,1671.2
bukit merah,114,bukit purmei road,090114,1.275072,103.825887,16,telok blangah rise,bukit merah,central region,879.2,1568.0,375.8,837.6,1575.6
choa chu kang,16,teck whye lane,680016,1.378378,103.754765,12,teck whye,choa chu kang,west region,4808.9,1043.6,1108.1,921.6,944.6
bukit merah,108,jalan bukit merah,160108,1.27922,103.825441,10,kampong tiong bahru,bukit merah,central region,870.1,1540.4,1119.6,1054.6,1558.0
tampines,421,tampines street 41,520421,1.357519,103.947536,12,tampines east,tampines,east region,2313.2,980.7,614.2,1183.2,1221.2
bukit merah,72,telok blangah heights,100072,1.276118,103.80959,20,telok blangah drive,bukit merah,central region,453.4,779.1,570.3,2054.7,1426.4
woodlands,27,marsiling drive,730027,1.442277,103.774173,13,north coast,woodlands,north region,448.6,1837.9,1410.9,1057.5,1806.1
geylang,301,ubi avenue 1,400301,1.330688,103.901953,4,kampong ubi,geylang,central region,1876.5,658.5,443.1,833.2,3699.1
choa chu kang,469,choa chu kang avenue 3,680469,1.377795,103.737379,16,peng siang,choa chu kang,west region,5250.6,267.9,387.1,654.7,3001.6
ang mo kio,253A,ang mo kio street 21,561253,1.369946,103.834285,8,shangri-la,ang mo kio,north-east region,973.7,751.7,836.8,341.1,1812.5
ang mo kio,439,ang mo kio avenue 10,560439,1.366292,103.853496,25,chong boon,ang mo kio,north-east region,571.1,824.1,424.8,147.7,873.4
yishun,755,yishun street 72,760755,1.427078,103.832706,12,yishun west,yishun,north region,898.7,697.5,314.0,644.5,769.6
geylang,132,geylang east avenue 1,380132,1.316351,103.885939,19,aljunied,geylang,central region,607.4,403.4,299.0,683.8,2404.1
bukit batok,506,bukit batok street 52,650506,1.352248,103.754664,12,guilin,bukit batok,west region,2681.1,982.1,412.1,288.0,1121.0
geylang,45,circuit road,370045,1.326388,103.886077,10,macpherson,geylang,central region,362.0,570.7,1008.8,1330.2,3557.6
bukit merah,113,jalan bukit merah,160113,1.280278,103.825724,12,kampong tiong bahru,bukit merah,central region,346.8,1001.8,839.5,818.2,1034.4
tampines,903,tampines avenue 4,520903,1.350976,103.939761,9,tampines west,tampines,east region,1473.0,779.8,530.9,372.6,476.4
jurong west,274D,jurong west avenue 3,644274,1.352199,103.70438,15,wenya,jurong west,west region,1868.8,901.3,514.8,732.3,979.6
jurong west,352,kang ching road,610352,1.339366,103.720184,11,taman jurong,jurong west,west region,942.1,1196.5,433.6,943.7,2014.9
bukit panjang,521,jelapang road,670521,1.387357,103.765995,17,saujana,bukit panjang,west region,6280.1,1430.6,578.3,374.2,1444.6
sengkang,313B,anchorvale road,542313,1.391349,103.888012,16,anchorvale,sengkang,north-east region,5061.4,1211.6,552.7,707.1,1222.5
jurong west,513,jurong west street 52,640513,1.347458,103.719968,14,hong kah,jurong west,west region,761.4,616.5,349.1,717.3,1971.9
choa chu kang,115,teck whye lane,680115,1.378937,103.751182,12,teck whye,choa chu kang,west region,5135.8,1476.9,1065.0,955.9,1377.9
woodlands,782A,woodlands crescent,731782,1.447467,103.802661,16,woodlands east,woodlands,north region,3787.4,1184.3,234.8,395.5,2173.8
bukit merah,41,kim cheng street,160041,1.284691,103.831591,4,tiong bahru,bukit merah,central region,225.7,568.8,987.9,1114.5,731.2
yishun,511C,yishun street 51,763511,1.415303,103.842597,13,lower seletar,yishun,north region,3151.8,1360.1,537.1,720.9,2098.1
bukit batok,312,bukit batok street 32,650312,1.359879,103.747336,12,hong kah north,bukit batok,west region,3014.8,662.9,199.9,984.4,1494.7
bukit panjang,505,jelapang road,670505,1.384162,103.767484,14,saujana,bukit panjang,west region,6268.7,1517.1,385.6,821.7,1537.2
hougang,915,hougang street 91,530915,1.377522,103.883813,16,trafalgar,hougang,north-east region,2880.6,1809.5,434.2,474.5,1840.2
tampines,452,tampines street 42,520452,1.356856,103.954629,4,tampines east,tampines,east region,2856.8,662.4,1089.1,587.8,1375.4
geylang,13,eunos crescent,400013,1.322687,103.903501,16,geylang east,geylang,central region,690.1,642.9,1727.6,1796.1,2614.8
hougang,327,hougang avenue 5,530327,1.368307,103.895988,13,kangkar,hougang,north-east region,1869.0,632.4,449.8,601.1,818.6
ang mo kio,405,ang mo kio avenue 10,560405,1.361579,103.853805,12,chong boon,ang mo kio,north-east region,942.4,1260.1,391.1,754.9,1293.5
choa chu kang,807A,choa chu kang avenue 1,681807,1.375805,103.744793,15,keat hong,choa chu kang,west region,4527.2,855.8,612.8,1274.8,2123.8
tampines,167C,simei lane,523167,1.343,103.959413,12,simei,tampines,east region,2591.5,435.4,1485.6,1594.5,1236.0
bukit batok,511,bukit batok street 52,650511,1.352723,103.753796,9,guilin,bukit batok,west region,2801.5,940.8,376.3,130.3,1241.4
sengkang,435B,fernvale road,792435,1.393394,103.876645,24,fernvale,sengkang,north-east region,4389.3,2557.1,198.6,828.7,259.1
bukit batok,292C,bukit batok east avenue 6,653292,1.344976,103.753615,40,bukit batok central,bukit batok,west region,2175.1,1003.9,431.4,281.2,1198.6
jurong east,22,teban gardens road,600022,1.322772,103.739714,40,teban gardens,jurong east,west region,552.6,882.9,2553.4,1133.1,2503.6
hougang,644,hougang avenue 8,530644,1.371437,103.881261,10,hougang west,hougang,north-east region,2108.6,1217.7,414.5,216.3,1695.7
hougang,365A,upper serangoon road,531365,1.369716,103.897624,18,kangkar,hougang,north-east region,2220.9,905.1,671.7,575.2,822.3
bedok,521,bedok north avenue 1,460521,1.330253,103.927058,12,bedok north,bedok,east region,600.0,1071.1,605.0,1189.3,1077.5
punggol,120B,edgedale plains,822120,1.394838,103.907585,17,punggol field,punggol,north-east region,5761.9,1426.9,731.9,761.4,841.6
bishan,108,bishan street 12,570108,1.346715,103.847398,4,bishan east,bishan,central region,1239.7,696.4,1263.4,253.2,684.8
bukit merah,17,cantonment close,080017,1.273836,103.839844,30,everton park,bukit merah,central region,708.2,887.1,186.3,1831.5,1043.3
yishun,640A,yishun street 61,761640,1.420872,103.839139,4,yishun south,yishun,north region,2239.2,1327.4,479.3,827.8,1171.7
yishun,637,yishun street 61,760637,1.420069,103.839133,12,yishun south,yishun,north region,2317.3,1047.7,784.0,279.4,1261.3
jurong west,350,corporation drive,610350,1.338672,103.719137,8,taman jurong,jurong west,west region,815.3,1069.7,306.8,816.9,1888.0
sengkang,231,compassvale walk,540231,1.389533,103.901395,16,sengkang town centre,sengkang,north-east region,4389.3,965.4,488.3,413.5,922.3
tampines,494D,tampines street 43,524494,1.3638,103.953439,13,tampines east,tampines,east region,3147.9,1199.0,913.5,778.6,1812.3
punggol,270A,punggol field,821270,1.40398,103.899455,16,matilda,punggol,north-east region,6371.2,904.3,437.3,954.2,998.9
punggol,204A,punggol field,821204,1.398778,103.902911,16,matilda,punggol,north-east region,5626.5,1309.1,1014.8,828.9,1623.6
jurong west,488,jurong west avenue 1,640488,1.349082,103.726195,12,hong kah,jurong west,west region,1016.9,1256.2,918.8,471.2,3027.9
bukit panjang,481,segar road,670481,1.389456,103.772226,15,fajar,bukit panjang,west region,6397.8,2347.0,811.8,983.7,2366.1
geylang,23,haig road,430023,1.313542,103.895482,21,geylang east,geylang,central region,292.9,786.7,1077.4,639.1,1409.7
bukit panjang,615,bukit panjang ring road,670615,1.385147,103.762438,21,senja,bukit panjang,west region,5842.4,992.9,644.5,720.9,1008.1
